  PID TTY           TIME CMD
  257 ??         0:02.97 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
  259 ??         0:19.81 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  260 ??         0:00.70 /usr/libexec/swcd
  261 ??         0:12.04 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  264 ??         4:54.76 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  265 ??         0:03.22 /System/Library/CoreServices/mapspushd
  266 ??         0:05.50 /System/Library/PrivateFrameworks/GameCenterFoundation.framework/Versions/A/gamed
  267 ??         0:00.81 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  268 ??         3:57.88 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_36873
  269 ??         3:36.83 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  270 ??         0:00.28 /System/Library/PrivateFrameworks/CloudFamilyRestrictions.framework/cloudfamilyrestrictionsd
  274 ??         3:49.94 /Applications/Microsoft Office 2011/Microsoft Word.app/Contents/MacOS/Microsoft Word -psn_0_45067
  275 ??         0:12.50 /usr/libexec/secd
  276 ??         0:09.25 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  278 ??         0:10.72 /System/Library/Frameworks/AddressBook.framework/Versions/A/XPCServices/com.apple.AddressBook.ContactsAccountsService.xpc/Contents/MacOS/com.apple.AddressBook.ContactsAccountsService
  279 ??         0:38.82 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_53261
  281 ??         1:24.78 /usr/libexec/SafariCloudHistoryPushAgent
  282 ??         0:01.04 /usr/libexec/fmfd
  283 ??         0:00.94 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  284 ??         0:00.34 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  285 ??         0:07.28 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  288 ??         0:59.81 /usr/libexec/nsurlstoraged
  289 ??         2:07.58 /System/Library/PrivateFrameworks/CalendarAgent.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  290 ??         0:21.25 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  292 ??         0:02.31 /usr/sbin/filecoordinationd
  293 ??         3:33.22 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  295 ??         0:16.53 /Applications/Pages.app/Contents/MacOS/Pages -psn_0_73746
  299 ??        36:42.20 /Applications/Xcode.app/Contents/MacOS/Xcode -psn_0_77843
  301 ??         0:00.00 /Applications/Utilities/Console.app/Contents/MacOS/Console -psn_0_86037
  304 ??         0:01.54 /System/Library/CoreServices/talagent
  305 ??         0:50.63 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  306 ??         1:49.16 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  307 ??         2:45.51 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  310 ??         0:02.51 /usr/sbin/systemsoundserverd
  311 ??         0:00.02 /usr/sbin/pboard
  312 ??         0:00.26 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  313 ??         0:07.96 /usr/libexec/sharingd
  316 ??         0:01.08 /System/Library/CoreServices/sharedfilelistd --enable-legacy-services
  317 ??         0:52.12 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  318 ??         0:01.54 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  320 ??         0:11.00 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  321 ??         0:03.60 /System/Library/CoreServices/iconservicesagent
  322 ??         0:06.31 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  323 ??         0:02.17 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  325 ??         0:36.98 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  326 ??         0:53.20 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  327 ??         0:03.25 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  329 ??         0:00.30 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  330 ??         0:04.82 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  331 ??         0:00.68 /System/Library/CoreServices/backupd.bundle/Contents/Resources/TMCacheDelete
  332 ??         0:02.83 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  333 ??         0:00.21 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  337 ??         0:40.57 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  338 ??         0:10.62 /System/Library/PrivateFrameworks/ParsecUI.framework/Versions/A/Support/SpotlightNetHelper.app/Contents/MacOS/SpotlightNetHelper
  339 ??         0:09.96 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  340 ??         0:01.70 /System/Library/CoreServices/AppleIDAuthAgent
  341 ??         0:00.17 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  343 ??         0:07.45 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  347 ??         0:06.92 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
  349 ??         0:00.77 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  350 ??         0:01.40 /System/Library/CoreServices/ScopedBookmarkAgent
  353 ??         0:14.39 /System/Library/Image Capture/Support/Image Capture Extension.app/Contents/MacOS/Image Capture Extension
  355 ??         0:00.33 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
  358 ??         0:03.71 /usr/libexec/watchdogd
  360 ??         0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  374 ??         0:01.10 /usr/libexec/nsurlstoraged
  384 ??         0:00.47 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
  391 ??         0:01.11 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  393 ??         0:07.78 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  394 ??         0:23.39 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
  395 ??         8:29.19 /Applications/Microsoft Office 2011/Office/Microsoft Database Daemon.app/Contents/MacOS/Microsoft Database Daemon
  396 ??         0:00.32 /System/Library/CoreServices/pbs
  397 ??         0:44.35 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell -psn_0_176171
  399 ??         0:00.53 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  400 ??         0:00.09 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  402 ??         0:00.28 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentHelper.xpc/Contents/MacOS/com.apple.audio.ComponentHelper
  403 ??         0:00.59 /System/Library/Frameworks/InputMethodKit.framework/Versions/A/XPCServices/com.apple.InputMethodKit.TextReplacementService.xpc/Contents/MacOS/com.apple.InputMethodKit.TextReplacementService
  407 ??         0:00.27 /Applications/Xcode.app/Contents/Developer/Library/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
  419 ??         0:00.17 /Applications/Xcode.app/Contents/SharedFrameworks/DVTSourceControl.framework/Versions/A/XPCServices/com.apple.dt.Xcode.sourcecontrol.SSHHelper.xpc/Contents/MacOS/com.apple.dt.Xcode.sourcecontrol.SSHHelper
  432 ??         2:39.61 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
  434 ??         0:01.60 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  435 ??         0:01.28 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  437 ??         0:00.53 /System/Library/CoreServices/FolderActionsDispatcher.app/Contents/MacOS/FolderActionsDispatcher
  439 ??         0:00.13 /usr/libexec/spindump_agent
  442 ??         0:00.64 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  445 ??         0:14.14 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  447 ??         0:00.93 /System/Library/Image Capture/Support/icdd
  452 ??         0:07.88 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  453 ??         0:01.30 /System/Library/CoreServices/cloudpaird
  456 ??         0:07.27 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  457 ??         0:03.27 /System/Library/CoreServices/diagnostics_agent
  461 ??         0:00.88 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  468 ??         0:00.20 /Applications/Xcode.app/Contents/SharedFrameworks/GPUTools.framework/Resources/GPUToolsAgent.app/Contents/MacOS/GPUToolsAgent
  469 ??         0:00.11 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  470 ??         0:01.00 /Library/Application Support/Microsoft/MAU2.0/Microsoft AutoUpdate.app/Contents/MacOS/Microsoft AU Daemon.app/Contents/MacOS/Microsoft AU Daemon
  471 ??         0:04.56 /usr/sbin/spindump
  472 ??         0:00.21 /System/Library/CoreServices/SubmitDiagInfo server-init
  475 ??        20:36.77 /Applications/Xcode.app/Contents/SharedFrameworks/SourceKit.framework/Versions/A/XPCServices/com.apple.dt.SourceKitService.xpc/Contents/MacOS/com.apple.dt.SourceKitService
  480 ??         0:00.83 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  483 ??         0:00.07 /Applications/Preview.app/Contents/XPCServices/com.apple.Preview.TrustedBookmarksService.xpc/Contents/MacOS/com.apple.Preview.TrustedBookmarksService
  494 ??         0:00.77 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  498 ??         0:00.31 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  499 ??         0:00.08 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  509 ??         0:00.26 /System/Library/Frameworks/AddressBook.framework/Versions/A/XPCServices/com.apple.AddressBook.InternetAccountsBridge.xpc/Contents/MacOS/com.apple.AddressBook.InternetAccountsBridge
  513 ??         0:00.24 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
  514 ??         0:11.49 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
  529 ??         4:26.53 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  530 ??         0:00.77 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
  535 ??         0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  537 ??         0:00.85 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  539 ??         0:04.82 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  563 ??         0:00.17 /usr/libexec/USBAgent
  580 ??         0:01.79 /usr/sbin/distnoted agent
  591 ??         0:40.33 /usr/libexec/systemstatsd
  595 ??         5:37.19 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  627 ??         0:00.45 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  635 ??         0:00.12 /usr/sbin/aslmanager -s /var/log/eventmonitor
  681 ??         0:03.31 /System/Library/PrivateFrameworks/CoreSpotlight.framework/Support/com.apple.spotlight.IndexAgent
  688 ??         0:00.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
  689 ??         0:02.47 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
  718 ??         0:00.78 /System/Library/Filesystems/AppleShare/check_afp.app/Contents/MacOS/check_afp
  732 ??         0:00.24 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  756 ??         0:00.04 /usr/libexec/periodic-wrapper daily
  757 ??         0:00.01 /usr/libexec/periodic-wrapper weekly
  826 ??         0:00.04 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
  837 ??         0:00.01 /usr/libexec/ioupsd
  885 ??         0:01.13 /System/Library/PrivateFrameworks/AssetCacheServices.framework/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  900 ??         0:00.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  910 ??         0:01.08 /System/Library/LoginPlugins/BezelServices.loginPlugin/Contents/Resources/BezelUI/BezelUIServer
  930 ??         0:00.12 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinstalld
  945 ??        24:43.15 sysmond
  998 ??         0:00.63 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
  999 ??         0:00.70 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPCServices/com.apple.sbd.xpc/Contents/MacOS/com.apple.sbd
 1000 ??         0:01.88 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/Frameworks/EscrowService.framework/Versions/A/XPCServices/com.apple.lakitu.xpc/Contents/MacOS/com.apple.lakitu
 1011 ??         0:02.24 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
 1012 ??         0:00.12 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
 1017 ??         0:04.36 /System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/XPCServices/DataDetectorsDynamicData.xpc/Contents/MacOS/DataDetectorsDynamicData
 1146 ??         0:00.62 /System/Library/Frameworks/GSS.framework/Helpers/com.apple.GSSCred
 1200 ??         0:00.89 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomodel.xpc/Contents/MacOS/com.apple.photomodel
 1270 ??         0:00.15 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 1387 ??         0:00.21 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 1900 ??         0:02.32 /Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Resources/Java Updater.app/Contents/MacOS/Java Updater -bgcheck
 3779 ??         0:00.09 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 5856 ??         0:40.25 /Applications/MathType 6/MathType.app/Contents/MacOS/MathType
19779 ??         0:00.06 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
19783 ??        35:40.82 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
19826 ??         0:00.24 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent.app/Contents/MacOS/CMFSyncAgent
20597 ??         1:16.85 /usr/sbin/syslogd
20598 ??         0:01.59 aslmanager
20635 ??         0:04.15 /Applications/Xcode.app/Contents/SharedFrameworks/LLDBRPC.framework/Resources/lldb-rpc-server --unix-fd 44 --fd-passing-socket 46
20662 ??         0:00.00 (clang)
22492 ??         0:00.02 /Users/skmatthai/Library/Developer/Xcode/DerivedData/CSMP_GitHub-epquvauivxpelgfzuojqfqudfbrz/Build/Products/Debug/CSMP_GitHub
22493 ??         0:00.02 /Applications/Xcode.app/Contents/SharedFrameworks/LLDB.framework/Resources/debugserver --native-regs --setsid --reverse-connect 127.0.0.1:62862
22656 ??         6:01.16 /Applications/Dropbox.app/Contents/MacOS/Dropbox /firstrunupdate 463
